"","tract","total_population","rev","human_services1","education1","public1","religion1","oth1","arts1","health","total","ndi"
"271","156101",1355,75493392,15,6,11,63,19,1,11,115,-0.0472
"272","156102",5760,45552723,4,4,2,1,3,4,6,22,-0.0454
"273","160100",1853,1363145,3,0,1,0,1,0,0,4,-0.059
"274","160200",2289,0,0,1,0,0,0,1,0,2,-0.0342
"275","160300",1748,4562804,0,2,1,0,1,0,1,4,-0.0308
"276","160400",3252,1658157,0,0,1,0,7,4,1,12,-0.0246
"277","160500",3740,65817,0,1,1,0,2,0,0,3,-0.0329
"278","160601",5101,0,4,1,0,1,0,1,0,7,-0.0191
"279","160602",2933,218104,1,0,0,0,0,0,0,1,0.0105
"280","160700",1534,3302173,1,0,0,0,0,0,0,1,-0.0194
"281","160800",993,3864374,0,0,0,1,1,1,0,3,-0.0348
"282","160900",3851,1064485,1,3,0,1,2,0,0,7,-0.0313
"283","161000",1751,0,1,1,1,1,1,0,0,4,-0.0341
"284","161100",3622,192878,2,2,1,0,1,0,0,5,-0.0373
"285","161200",2698,0,0,1,0,1,1,2,0,5,-0.0274
"286","161300",2987,2129074,9,1,6,0,8,7,0,25,-0.0161
"287","161400",3127,782545,2,0,0,0,0,1,0,3,-0.0225
"288","161500",3779,3843,0,1,0,0,1,0,1,3,-0.0184
"289","161600",2112,0,1,0,0,0,1,0,0,2,0.0045
"290","161700",2146,0,0,0,0,0,0,0,0,0,0.0427
"291","161800",1350,63157,1,0,0,0,0,0,0,1,0.0667
"292","170101",2733,261992,4,1,0,0,0,0,1,6,-0.0417
"293","170102",5203,61652,1,1,1,1,2,0,0,5,-0.0377
"294","170201",2108,8894172,4,3,1,0,1,1,1,10,-0.0443
"295","170202",3692,230115,2,1,0,0,7,0,0,10,-0.0476
"296","171102",4726,8643518,2,2,1,0,1,0,1,6,0.0205
"297","171103",3886,575760,2,2,2,2,2,0,0,8,0.0169
"298","171104",4733,0,0,1,1,0,1,2,0,4,0.0429
"299","171203",2677,0,1,0,0,0,0,0,0,1,0.0074
"300","171204",1963,0,0,0,1,0,3,0,0,3,0.0111
"301","171205",2369,0,1,1,0,1,0,0,0,3,-0.0065
"302","171206",2331,0,3,2,0,0,0,0,0,5,-0.0072
"303","172101",2510,90476,1,0,1,0,4,0,0,5,-0.0264
"304","172102",3609,59085,0,1,0,2,0,2,0,5,-0.0245
"305","172103",4767,1649745,1,1,0,2,2,0,0,6,-0.0219
"306","172201",3606,582954,3,4,1,1,3,2,0,13,-0.0212
"307","172202",4386,314783093,4,2,2,0,7,0,0,13,-0.0186
"308","173103",2803,0,0,0,0,1,0,0,0,1,-0.0253
"309","173104",4289,189375,4,0,1,1,1,2,0,8,-0.03
"310","173105",2546,0,0,0,0,0,0,0,0,0,-0.0379
"311","173106",3752,167858,1,0,1,2,2,1,0,6,-0.0415
"312","173107",2334,341932479,5,2,4,2,4,1,4,18,-0.0241
"313","174103",3083,8141653,5,1,4,0,5,0,1,12,-0.031
"314","174104",2260,32683,1,0,0,0,1,0,0,2,-0.0312
